"Year","Hurricane name","Category","landfall_date"
"2019","Hurricane Dorian","1",2019-08-27
"2017","Hurricane Maria","5",2017-09-20
"2017","Hurricane Irma","5",2017-09-06
"2011","Hurricane Irene","3",2011-08-20
"2010","Hurricane Earl","1",2010-08-31
"2008","Hurricane Omar","3",2008-10-16
"1999","Hurricane Lenny","1",1999-11-17
"1999","Hurricane Jose","1",1999-10-21
"1998","Hurricane Georges","2",1998-09-21
"1996","Hurricane Bertha","1",1996-07-08
"1995","Hurricane Marilyn","1",1995-09-15
"1995","Hurricane Luis","2",1995-09-05
"1989","Hurricane Hugo","4",1989-09-18
